recording_id,time_ms,channel_a_normalized,channel_b_normalized
CRD-410031,0,-0.118963,-0.200416
CRD-410031,10,-0.316781,-0.333479
CRD-410031,20,-0.182477,-0.300709
CRD-410031,30,-0.017428,-0.50762
CRD-410031,40,-0.22554,-0.148937
CRD-410031,50,-0.025606,-0.36101
CRD-410031,60,-0.110418,-0.141665
CRD-410031,70,-0.265132,-0.328124
CRD-410031,80,-0.179852,-0.401425
CRD-410031,90,-0.252511,-0.248804
CRD-410031,100,-0.289821,-0.166899
CRD-410031,110,-0.294825,-0.028315
CRD-410031,120,-0.357726,-0.337761
CRD-410031,130,-0.362951,0.011248
CRD-410031,140,-0.117635,0.071285
CRD-410031,150,-0.1911,-0.320872
CRD-410031,160,-0.089403,-0.208066
CRD-410031,170,-0.338471,-0.121778
CRD-410031,180,-0.386044,-0.244124
CRD-410031,190,-0.294314,-0.521581
CRD-410031,200,-0.378537,-0.295596
CRD-410031,210,-0.301941,-0.111264
CRD-410031,220,-0.066534,-0.155189
CRD-410031,230,-0.129649,-0.117193
CRD-410031,240,-0.228068,-0.175411
CRD-410031,250,-0.368917,-0.264642
CRD-410031,260,-0.241732,-0.389727
CRD-410031,270,-0.237568,-0.095848
CRD-410031,280,-0.254247,-0.192832
CRD-410031,290,-0.172166,-0.068018
CRD-410031,300,-0.300608,-0.284002
CRD-410031,310,-0.235685,-0.272925
CRD-410031,320,-0.300159,-0.198438
CRD-410031,330,-0.406716,-0.416876
CRD-410031,340,-0.209765,-0.266
CRD-410031,350,-0.102251,-0.030563
CRD-410031,360,-0.488948,-0.466042
CRD-410031,370,-0.224674,-0.122163
CRD-410031,380,-0.344358,-0.223797
CRD-410031,390,-0.146138,-0.002567
CRD-410031,400,-0.259622,-0.331976
CRD-410031,410,-0.073259,-0.091804
CRD-410031,420,-0.181523,-0.128502
CRD-410031,430,-0.264057,-0.380571
CRD-410031,440,-0.158978,-0.328549
CRD-410031,450,-0.304852,-0.054342
CRD-410031,460,-0.309732,-0.171511
CRD-410031,470,-0.230475,-0.202501
CRD-410031,480,-0.050886,-0.137627
CRD-410031,490,-0.189074,-0.196894
CRD-410031,500,-0.415342,-0.421139
CRD-410031,510,-0.162336,-0.099949
CRD-410031,520,-0.212111,-0.083805
CRD-410031,530,-0.253808,-0.32485
CRD-410031,540,-0.142495,-0.246542
CRD-410031,550,-0.193807,-0.179493
CRD-410031,560,-0.037147,-0.32035
CRD-410031,570,0.022638,-0.233283
CRD-410031,580,-0.174322,-0.098526
CRD-410031,590,-0.218896,-0.251473
CRD-410031,600,-0.187511,-0.124819
CRD-410031,610,-0.19996,-0.416951
CRD-410031,620,-0.291272,-0.152649
CRD-410031,630,-0.239573,-0.278126
CRD-410031,640,-0.347564,-0.265319
CRD-410031,650,-0.423377,-0.20031
CRD-410031,660,-0.233103,0.064565
CRD-410031,670,-0.174591,-0.133424
CRD-410031,680,-0.335027,-0.133403
CRD-410031,690,-0.052002,-0.320651
CRD-410031,700,-0.170201,-0.148023
CRD-410031,710,-0.041542,-0.215221
CRD-410031,720,0.051902,-0.142798
CRD-410031,730,0.118505,-0.011931
CRD-410031,740,0.385661,-0.13808
CRD-410031,750,0.242477,0.069167
CRD-410031,760,0.304385,-0.068716
CRD-410031,770,0.246661,0.040616
CRD-410031,780,0.03107,-0.143762
CRD-410031,790,-0.122997,0.165601
CRD-410031,800,-0.017166,0.074077
CRD-410031,810,-0.011473,0.134033
CRD-410031,820,0.108477,0.079997
CRD-410031,830,0.044075,-0.16853
CRD-410031,840,-0.078359,-0.027719
CRD-410031,850,-0.215218,-0.087595
CRD-410031,860,0.009878,-0.185537
CRD-410031,870,0.077137,-0.108002
CRD-410031,880,0.436103,0.113549
CRD-410031,890,0.787285,0.0825
CRD-410031,900,1.250352,0.060622
CRD-410031,910,1.78799,0.201798
CRD-410031,920,1.686951,0.335285
CRD-410031,930,1.707496,0.061956
CRD-410031,940,0.711455,0.215441
CRD-410031,950,0.308921,-0.055536
CRD-410031,960,-0.340499,0.19781
CRD-410031,970,-0.554205,0.392544
CRD-410031,980,-0.232681,0.999852
CRD-410031,990,-0.487599,1.365105
CRD-410031,1000,-0.280938,1.339784
CRD-410031,1010,-0.048414,1.378612
CRD-410031,1020,-0.021287,0.991719
CRD-410031,1030,-0.183642,0.801121
CRD-410031,1040,-0.032879,0.130887
CRD-410031,1050,0.032513,-0.23845
CRD-410031,1060,-0.31898,-0.394492
CRD-410031,1070,-0.215784,-0.389155
CRD-410031,1080,-0.311435,-0.557056
CRD-410031,1090,0.112983,-0.312311
CRD-410031,1100,-0.000159,-0.404412
CRD-410031,1110,0.266213,-0.357338
CRD-410031,1120,0.233769,-0.28598
CRD-410031,1130,0.266609,-0.00547
CRD-410031,1140,0.390286,-0.211613
CRD-410031,1150,0.351613,0.029801
CRD-410031,1160,0.348671,-0.094652
CRD-410031,1170,0.626898,0.126362
CRD-410031,1180,0.467313,0.389205
CRD-410031,1190,0.36151,0.392674
CRD-410031,1200,0.484387,0.218495
CRD-410031,1210,0.269227,0.400217
CRD-410031,1220,0.370491,0.36105
CRD-410031,1230,0.376285,0.307089
CRD-410031,1240,0.073832,0.359175
CRD-410031,1250,0.365571,0.194579
CRD-410031,1260,0.246349,0.314699
CRD-410031,1270,0.148683,0.302434
CRD-410031,1280,0.034317,0.362514
CRD-410031,1290,-0.039479,0.489537
CRD-410031,1300,0.106253,0.264345
CRD-410031,1310,-0.081029,-0.013125
CRD-410031,1320,0.030853,0.410402
CRD-410031,1330,-0.243581,0.458168
CRD-410031,1340,-0.109899,0.21063
CRD-410031,1350,0.059922,0.178937
CRD-410031,1360,-0.359149,0.000461
